color,ash
20.0,10.0
18.0,9.0
17.0,9.0
21.0,9.0
23.0,10.0
24.0,10.0
24.0,10.0
29.0,11.0
29.0,14.0
42.0,20.0
30.0,14.0
25.0,13.0
30.0,16.0
34.0,20.0
29.0,18.0
34.0,21.0
34.0,21.0
28.0,18.0
32.0,20.0
26.0,16.0
28.0,16.0
19.0,11.0
22.0,12.0
23.0,14.0
22.0,12.0
20.0,12.0
22.0,12.0
20.0,11.0
20.0,10.0
19.0,10.0
24.0,13.0
24.0,13.0
23.0,13.0
24.0,13.0
24.0,13.0
23.0,14.0
24.0,15.0
31.0,21.0
27.0,17.0
22.0,14.0
26.0,16.0
23.0,13.0
19.0,11.0
22.0,11.0
17.0,10.0
28.0,10.0
20.0,11.0
17.0,8.0
18.0,9.0
22.0,12.0
20.0,11.0
22.0,10.0
20.0,11.0
21.0,11.0
22.0,13.0
24.0,14.0
26.0,14.0
22.0,13.0
22.0,12.0
25.0,14.0
25.0,15.0
25.0,14.0
28.0,17.0
31.0,19.0
25.0,15.0
23.0,12.0
27.0,13.0
19.0,10.0
19.0,10.0
19.0,10.0
46.0,33.0
19.0,13.0
22.0,13.0
22.0,16.0
23.0,14.0
22.0,13.0
20.0,11.0
19.0,11.0
19.0,11.0
22.0,13.0
25.0,14.0
23.0,13.0
23.0,13.0
22.0,13.0
24.0,14.0
23.0,14.0
26.0,17.0
27.0,17.0
29.0,18.0
25.0,13.0
27.0,16.0
20.0,15.0
31.0,12.0
30.0,13.0
30.0,12.0
27.0,13.0
22.0,12.0
18.0,10.0
22.0,12.0
22.0,13.0
22.0,16.0
19.0,14.0
20.0,14.0
22.0,16.0
25.0,18.0
23.0,17.0
22.0,15.0
20.0,13.0
26.0,15.0
20.0,14.0
23.0,16.0
23.0,15.0
25.0,15.0
28.0,16.0
27.0,14.0
26.0,14.0
28.0,20.0
29.0,19.0
29.0,20.0
27.0,18.0
22.0,16.0
25.0,20.0
28.0,19.0
28.0,19.0
24.0,19.0
24.0,16.0
24.0,21.0
23.0,19.0
35.0,32.0
28.0,23.0
50.0,18.0
31.0,14.0
27.0,12.0
26.0,13.0
22.0,10.0
19.0,12.0
18.0,11.0
23.0,16.0
24.0,16.0
26.0,17.0
24.0,15.0
23.0,16.0
22.0,15.0
24.0,14.0
24.0,15.0
22.0,14.0
23.0,13.0
21.0,13.0
21.0,11.0
21.0,15.0
23.0,14.0
25.0,16.0
25.0,17.0
26.0,16.0
23.0,15.0
24.0,17.0
26.0,22.0
24.0,22.0
24.0,18.0
22.0,15.0
24.0,17.0
31.0,23.0
29.0,20.0
31.0,20.0
30.0,19.0
33.0,21.0
28.0,19.0
24.0,17.0
24.0,18.0
28.0,21.0
23.0,18.0
20.0,13.0
21.0,13.0
21.0,13.0
25.0,15.0
24.0,16.0
24.0,18.0
27.0,17.0
26.0,17.0
25.0,15.0
27.0,16.0
25.0,13.0
27.0,13.0
25.0,11.0
19.0,11.0
21.0,11.0
20.0,11.0
19.0,11.0
22.0,12.0
24.0,14.0
22.0,11.0
25.0,11.0
25.0,11.0
28.0,11.0
27.0,11.0
26.0,17.0
25.0,18.0
22.0,17.0
30.0,22.0
27.0,20.0
26.0,19.0
25.0,15.0
27.0,13.0
27.0,12.0
23.0,10.0
24.0,12.0
23.0,12.0
22.0,10.0
23.0,11.0
24.0,11.0
24.0,11.0
22.0,10.0
23.0,10.0
23.0,10.0
23.0,10.0
25.0,10.0
25.0,11.0
23.0,10.0
25.0,12.0
27.0,13.0
25.0,12.0
22.0,11.0
23.0,10.0
21.0,9.0
22.0,9.0
24.0,10.0
24.0,11.0
26.0,14.0
27.0,12.0
26.0,11.0
30.0,10.0
27.0,9.0
27.0,10.0
26.0,11.0
28.0,11.0
25.0,11.0
25.0,10.0
24.0,9.0
25.0,9.0
26.0,11.0
24.0,10.0
24.0,10.0
28.0,11.0
27.0,11.0
26.0,9.0
28.0,10.0
28.0,9.0
26.0,9.0
26.0,10.0
27.0,10.0
27.0,10.0
27.0,9.0
28.0,9.0
26.0,10.0
26.0,10.0
29.0,11.0
28.0,12.0
30.0,16.0
29.0,15.0
27.0,13.0
26.0,13.0
25.0,12.0
26.0,14.0
26.0,12.0
29.0,12.0
30.0,11.0
35.0,10.0
43.0,12.0
